prev_bucket_label,bucket_label,prev_total_nts_gbp,total_nts_gbp,changed_nts_gbp,facebook_paid_social_spend_gbp,iroas_14d
F-8 (03-Feb to 16-Feb),F-7 (17-Feb to 02-Mar),154690556.0098468,158263177.6388578,3572621.629011005,22759.789999,156.9707641928144
F-7 (17-Feb to 02-Mar),F-6 (03-Mar to 16-Mar),158263177.6388578,162885326.8584156,4622149.219557792,27920.169998999998,165.54874915601664
F-6 (03-Mar to 16-Mar),F-5 (17-Mar to 30-Mar),162885326.8584156,161678861.9236153,-1206464.934800297,28288.61,-42.64843464561521
F-5 (17-Mar to 30-Mar),F-4 (31-Mar to 13-Apr),161678861.9236153,153133380.2582881,-8545481.665327221,27872.439999,-306.5925217036547
F-4 (31-Mar to 13-Apr),F-3 (14-Apr to 27-Apr),153133380.2582881,162052313.1584121,8918932.900124013,27419.999999,325.27107587342397
F-3 (14-Apr to 27-Apr),F-2 (28-Apr to 11-May),162052313.1584121,165124898.66092992,3072585.5025178194,29644.699998,103.64704323960484
F-2 (28-Apr to 11-May),F-1 (12-May to 25-May),165124898.66092992,163195320.8728272,-1929577.7881027162,25975.609998,-74.28421462484556
F-1 (12-May to 25-May),F0 (26-May to 08-Jun),163195320.8728272,169605709.05661958,6410388.1837923825,51142.079997,125.34469040305784
F0 (26-May to 08-Jun),F1 (09-Jun to 22-Jun),169605709.05661958,167597962.6329185,-2007746.4237010777,0.0,
