activity_date,meta_spend_gbp,meta_nc,total_nc,meta_nts_gbp,total_nts_gbp,visits,period
2026-04-01,2015.73,183.0,9808.000000511,680433.885316463,12355335.3084471,389363.0,outside_window
2026-04-02,1969.03,239.0,10550.000001518,687440.658182095,12213441.9852326,376576.0,outside_window
2026-04-03,1724.5,205.0,10474.000000041,474393.932046463,9639230.5295139,314809.0,outside_window
2026-04-04,1895.089999,233.0,9297.999997599001,427464.754876782,8267276.7892876,283566.0,outside_window
2026-04-05,2087.12,163.0,7320.000000539,367241.732857117,7000336.3185023,270155.0,outside_window
2026-04-06,2181.97,204.0,9316.000000315998,511392.643245659,9629938.0269556,301551.0,outside_window
2026-04-07,2651.28,236.0,10812.000001916998,696325.035660373,12566990.1136682,378808.0,outside_window
2026-04-08,2255.14,222.0,10624.99999916,669348.721375048,12203362.1439919,403319.0,outside_window
2026-04-09,2089.22,209.0,10090.999996678,686889.504901268,12521489.7722258,411662.0,outside_window
2026-04-10,1617.69,232.0,11098.000000948,627069.345212876,11701969.6179605,382609.0,outside_window
2026-04-11,1342.69,197.0,9755.000000903001,456766.485512523,9169064.347147,318209.0,outside_window
2026-04-12,1674.55,148.0,7711.000001748001,463623.755066733,9510114.0292482,283289.0,outside_window
2026-04-13,1983.58,150.0,9045.999999996,690900.458684455,13420515.2121739,386806.0,outside_window
2026-04-14,2260.79,162.0,8526.999998254,701888.831363431,13067066.9555206,378730.0,outside_window
2026-04-15,2059.51,182.0,8844.000003383999,689383.048993606,12795600.4268463,375923.0,outside_window
2026-04-16,1826.04,156.0,8916.999997480001,643724.115463852,12380474.3499527,393042.0,outside_window
2026-04-17,1871.28,208.0,10517.999999094998,578992.020615339,11852793.6157669,418657.0,outside_window
2026-04-18,1967.31,189.0,10081.000004669999,431179.778199536,9069002.7151235,315672.0,outside_window
2026-04-19,1956.77,153.0,7250.999997525999,384764.422892588,8799538.195855,280833.0,outside_window
2026-04-20,2253.969999,137.0,8738.999998227,568277.782798596,13196524.2759429,402143.0,outside_window
2026-04-21,2125.96,148.0,8165.000000155999,544132.629137581,12287842.2930487,388359.0,outside_window
2026-04-22,2249.86,122.0,8237.000001072,532758.545929476,11915668.096125,376340.0,outside_window
2026-04-23,2396.71,156.0,8819.999998825999,566084.324365521,11799148.6352046,377491.0,outside_window
2026-04-24,2118.39,220.0,10794.000001008,589188.688987072,12270059.4677336,371161.0,outside_window
2026-04-25,1007.48,208.0,10819.000001482,436077.199705345,9493527.356071,318943.0,outside_window
2026-04-26,1661.27,152.0,7668.999999389999,428753.224701028,9394435.818079,289651.0,outside_window
2026-04-27,1664.66,172.0,8852.000000115999,679014.485218864,13730630.9571423,401584.0,outside_window
2026-04-28,2215.8,171.0,8800.999999442001,735941.813182983,13654604.3863785,382707.0,pre_1
2026-04-29,2521.37,183.0,8808.999997581,761026.649638227,13031297.9263495,375999.0,pre_1
2026-04-30,2657.46,171.0,9520.999999876,801835.477825301,13486283.5425118,383232.0,pre_1
2026-05-01,2107.35,231.0,11511.000000500999,741626.653779517,12652047.5309605,389542.0,pre_1
2026-05-02,2141.52,268.0,11365.999998338,557101.953927169,9705089.8384117,317471.0,pre_1
2026-05-03,2506.489999,202.0,8939.000002103001,466138.610561289,8232938.370009,298507.0,pre_1
2026-05-04,2315.08,206.0,9045.999999678,591387.615832993,10577520.8212248,304827.0,pre_1
2026-05-05,2241.62,227.0,8961.000001245999,819625.317480058,13886473.7743736,418140.0,pre_1
2026-05-06,2110.05,197.0,8852.999997135,768769.260562818,13171576.878265,394688.0,pre_1
2026-05-07,1984.0,205.0,8893.00000306,758700.418200792,12934000.1784863,443191.0,pre_1
2026-05-08,1786.95,231.0,10450.000001189,694699.042177408,12030327.2211888,382349.0,pre_1
2026-05-09,1548.02,246.0,9807.999995557999,479994.940338506,8876628.4232869,299232.0,pre_1
2026-05-10,1694.78,147.0,7589.999999298,474282.176444732,9224318.894107,285569.0,pre_1
2026-05-11,1814.209999,159.0,8937.0,762513.330006476,13661790.8753765,400113.0,pre_1
2026-05-12,2011.749999,189.0,8674.000002892,782927.282072974,13379564.8284145,380427.0,pre_2
2026-05-13,1881.52,158.0,8452.000002431,782596.767511654,12867003.7313503,385465.0,pre_2
2026-05-14,1708.91,202.0,8973.999999706,792627.219418447,12630443.2795861,376884.0,pre_2
2026-05-15,1884.39,220.0,10228.999997774,724413.370202603,11919654.3100006,372437.0,pre_2
2026-05-16,2305.74,225.0,9906.000001612,531817.15497885,9089875.559717,300248.0,pre_2
2026-05-17,2078.38,170.0,7869.000000516001,529248.16697038,9486636.393394,306158.0,pre_2
2026-05-18,2074.039999,213.0,8983.000004044,810597.726776847,13387417.626662,402061.0,pre_2
2026-05-19,2128.91,194.0,8723.999995998,835191.026560683,13079501.211951,395887.0,pre_2
2026-05-20,1987.06,220.0,9479.000002028,866760.856259473,13221668.6224233,400933.0,pre_2
2026-05-21,1481.51,244.0,10002.999998311,834046.140975276,12905143.9981382,391951.0,pre_2
2026-05-22,1620.61,265.0,11831.000002009001,758955.124397821,12583504.9513621,435367.0,pre_2
2026-05-23,1569.65,229.0,11773.000003404999,561768.553912524,9887627.588503,330665.0,pre_2
2026-05-24,1659.57,230.0,10804.000001897,496371.967224352,8671403.802804,314661.0,pre_2
2026-05-25,1583.57,241.0,11674.000001572,576513.506348899,10085874.9685211,361975.0,pre_2
2026-05-26,2523.97,260.0,11845.000003177,800653.945962902,12872246.7714168,478291.0,phase1_upweight
2026-05-27,3094.47,294.0,11599.000000681,839376.077038303,12715712.356862,440633.0,phase1_upweight
2026-05-28,3112.04,280.0,11811.000003471001,905789.540042959,13184339.2552819,435001.0,phase1_upweight
2026-05-29,3136.829999,328.0,12847.999999999996,872519.439442546,13113281.4628495,423323.0,phase1_upweight
2026-05-30,3178.97,317.0,11128.000004455002,636045.341072081,9727665.754717,318114.0,phase1_upweight
2026-05-31,3313.84,247.0,8826.999998603998,659938.278588362,10430276.1357723,306041.0,phase1_upweight
2026-06-01,3472.44,219.0,9677.0,876730.183468245,13992794.1949032,418263.0,phase1_upweight
2026-06-02,3459.319999,195.0,9020.000000647,842924.931967403,13384802.5652899,407998.0,phase1_upweight
2026-06-03,3660.24,207.0,8947.999995769002,823119.151491799,12995309.3592388,385751.0,phase1_upweight
2026-06-04,4054.24,241.0,9385.000000105,849438.915174669,12539188.4593277,376875.0,phase1_upweight
2026-06-05,4200.83,262.0,10514.999999038,824667.452647161,11995605.1273721,358634.0,phase1_upweight
2026-06-06,4887.68,269.0,10336.999999022,606121.05645621,9167799.418088,308982.0,phase1_upweight
2026-06-07,5310.42,234.0,8050.999998879,690161.339928072,9612422.2976195,285971.0,phase1_upweight
2026-06-08,3736.789999,315.0,9878.000000068,1000526.449534481,13874265.8978809,395748.0,phase1_upweight
2026-06-09,0.0,218.0,9616.000003095,872872.217974056,13515347.2668336,385523.0,phase2_cut
2026-06-10,0.0,164.0,9607.000002506,796831.043153729,13097919.3802654,384075.0,phase2_cut
2026-06-11,0.0,169.0,9429.000004916,814346.361879128,12729969.9251418,371972.0,phase2_cut
2026-06-12,0.0,233.0,11359.000003315998,743157.031136611,12121088.3296202,365795.0,phase2_cut
2026-06-13,0.0,240.0,10566.999999202,541081.424330199,9206600.571034,281104.0,phase2_cut
2026-06-14,0.0,186.0,8732.000001107,548545.516392785,9541686.8294786,279577.0,phase2_cut
2026-06-15,0.0,191.0,10105.000001177,844106.577335677,13733225.662567,377940.0,phase2_cut
2026-06-16,0.0,228.0,10324.000000377999,862870.605408804,13541527.6225725,370542.0,phase2_cut
2026-06-17,0.0,223.0,10305.999999077001,826213.719137274,12981861.2660046,366008.0,phase2_cut
2026-06-18,0.0,215.0,10343.99999835,840590.826053595,12803523.6957614,361632.0,phase2_cut
2026-06-19,0.0,269.0,11825.999998551,792112.558541507,12517154.9388903,399840.0,phase2_cut
2026-06-20,0.0,205.0,10632.999997901003,555390.07401154,9437589.21097,454378.0,phase2_cut
2026-06-21,0.0,0.0,0.0,0.0,9440000.8494144,0.0,phase2_cut
