bucket_label,bucket_start,bucket_end,facebook_paid_social_spend_gbp,total_nts_gbp,visits,app_organic_scaled_nts_gbp,app_organic_new_customers,web_paid_social_scaled_nts_gbp,web_direct_scaled_nts_gbp,web_paid_social_new_customers,web_direct_new_customers,total_new_customers
W-16 (03-Feb to 09-Feb),2026-02-03,2026-02-09,14091.76,78034401.4789069,2537232,55435282.36991548,26027.547551305634,2772469.595489445,1086673.53512804,1165.0,1627.943676517,59657.00000559703
W-15 (10-Feb to 16-Feb),2026-02-10,2026-02-16,10023.68,76656154.5309399,2564784,54397965.443902016,28032.023010075598,3125605.171800954,1017611.409104365,1199.0,1526.20925711,63034.99999621599
W-14 (17-Feb to 23-Feb),2026-02-17,2026-02-23,10306.52,75265490.0899698,2550793,53201557.56095332,28283.04962828733,3362704.103321741,1070987.316836646,1386.0,1543.260195759,63387.000001381966
W-13 (24-Feb to 02-Mar),2026-02-24,2026-03-02,12453.269999,82997687.548888,2508040,58477898.90934544,27240.919547578123,4169285.299988979,1180976.388315493,1351.0,1634.720679398,62096.99999587803
W-12 (03-Mar to 09-Mar),2026-03-03,2026-03-09,13865.759999,81984868.9747553,2449254,57720724.014150865,26890.874957440796,4238394.659594041,1193125.021846168,1264.0,1525.336582787,60412.99999748099
W-11 (10-Mar to 16-Mar),2026-03-10,2026-03-16,14054.41,80900457.8836603,2521707,57170857.98860782,26483.07793799433,4198924.0359368,1185807.183961055,1236.0,1550.5991656229999,58988.99999944902
W-10 (17-Mar to 23-Mar),2026-03-17,2026-03-23,14885.220000000001,80555221.4287557,2546922,57166520.7314559,27017.15110152584,4386656.03286895,1139947.396296079,1344.0,1553.094697561,60370.99999603299
W-9 (24-Mar to 30-Mar),2026-03-24,2026-03-30,13403.39,81123640.4948596,2489726,57973215.55462698,28650.730976883755,4316395.3796079,1063297.271266983,1292.0,1600.242256991,63904.99999067699
W-8 (31-Mar to 06-Apr),2026-03-31,2026-04-06,14258.289999,72039875.0218726,2307253,52801181.97202684,30714.751568609412,3833604.035558164,841208.891721572,1407.0,1563.474699038,66806.999998063
W-7 (07-Apr to 13-Apr),2026-04-07,2026-04-13,13614.15,81093505.2364155,2564702,58486996.583492786,31352.404363569418,4290923.306413276,1251993.625121218,1394.0,1743.829694899,69138.00000135
W-6 (14-Apr to 20-Apr),2026-04-14,2026-04-20,14195.669999,81161000.5350079,2565000,59967147.53847707,29154.45792691649,3998210.0003269482,1271105.204438043,1187.0,1711.091257574,62876.999998635976
W-5 (21-Apr to 27-Apr),2026-04-21,2026-04-27,13224.33,80891312.6234042,2523529,61210777.01658645,26992.705659615545,3776009.098044887,1263771.503998413,1178.0,1739.5501244369998,63356.000002050016
W-4 (28-Apr to 04-May),2026-04-28,2026-05-04,16465.069999,81339782.4158458,2452285,59159744.84192851,26908.134348661915,4655058.774747479,1092075.233034679,1432.0,1839.44186294,67992.99999751896
W-3 (05-May to 11-May),2026-05-05,2026-05-11,13179.629999,83785116.2450841,2623282,59145793.38116859,23948.0497462973,4758584.48521079,1363486.136458605,1412.0,1751.871729408,63491.99999748603
W-2 (12-May to 18-May),2026-05-12,2026-05-18,13944.729998,82760595.7291245,2523680,59076910.67953933,23913.192777165186,4954227.687931756,1253087.949324053,1377.0,1525.091800079,63087.000008974996
W-1 (19-May to 25-May),2026-05-19,2026-05-25,12030.88,80434725.1437027,2631439,57625410.19349271,28937.557213018772,4929607.175679028,984535.136008571,1623.0,1929.5176279250002,74288.00000522002
W0 (26-May to 01-Jun),2026-05-26,2026-06-01,21832.559999,86036315.9318027,2819666,60176671.44015924,29354.90165580281,5591052.805615398,1210365.281792636,1945.0,1889.662242692,77735.000010388
W1 (02-Jun to 08-Jun),2026-06-02,2026-06-08,29309.519998,83569393.1248169,2519959,57936270.24716647,24431.588112725578,5636959.297199795,1254807.72574697,1723.0,1804.826039056,66133.99999352798
W2 (09-Jun to 15-Jun),2026-06-09,2026-06-15,0.0,83945837.9649406,2445986,58581393.72453144,26674.692701786444,5130772.748827592,1169979.500152979,1401.0,1782.966799785,69401.1402549131
W3 (16-Jun to 22-Jun),2026-06-16,2026-06-22,0.0,83652124.6679779,2832308,58810667.38134676,28635.88399568225,5140346.04423313,1142790.426937161,1435.0,1870.82421965,72807.00000208801
